[2025-01-24T22:33:34.944+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T22:33:34.958+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.964+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.965+0000] {taskinstance.py:2865} INFO - Starting attempt 16 of 16
[2025-01-24T22:33:37.767+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-5-5.pdf already broken down into
[2025-01-24T22:33:37.767+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-6-6.pdf already broken down into
[2025-01-24T22:33:37.768+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-7-7.pdf already broken down into
[2025-01-24T22:33:37.768+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-8-8.pdf already broken down into
[2025-01-24T22:33:37.768+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-9-9.pdf already broken down into
[2025-01-24T22:33:37.769+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-10-10.pdf already broken down into
[2025-01-24T22:33:37.769+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-11-11.pdf already broken down into
[2025-01-24T22:33:37.769+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-12-12.pdf already broken down into
[2025-01-24T22:33:37.769+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-13-13.pdf already broken down into
[2025-01-24T22:33:37.770+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-14-14.pdf already broken down into
[2025-01-24T22:33:37.770+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-15-15.pdf already broken down into
[2025-01-24T22:33:37.770+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-16-16.pdf already broken down into
[2025-01-24T22:33:37.771+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-17-17.pdf already broken down into
[2025-01-24T22:33:37.771+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-18-18.pdf already broken down into
[2025-01-24T22:33:37.771+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-19-19.pdf already broken down into
[2025-01-24T22:33:37.771+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-20-20.pdf already broken down into
[2025-01-24T22:33:37.772+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-21-21.pdf already broken down into
[2025-01-24T22:33:37.772+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-22-22.pdf already broken down into
[2025-01-24T22:33:37.772+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-23-23.pdf already broken down into
[2025-01-24T22:33:37.772+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-24-24.pdf already broken down into
[2025-01-24T22:33:37.773+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-18_7156.pdf into multiple PDF single pages
[2025-01-24T22:33:38.016+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-0-0.pdf already broken down into
[2025-01-24T22:33:38.016+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-1-1.pdf already broken down into
[2025-01-24T22:33:38.017+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-2-2.pdf already broken down into
[2025-01-24T22:33:38.017+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-3-3.pdf already broken down into
[2025-01-24T22:33:38.017+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-4-4.pdf already broken down into
[2025-01-24T22:33:38.018+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-5-5.pdf already broken down into
[2025-01-24T22:33:38.018+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-6-6.pdf already broken down into
[2025-01-24T22:33:38.019+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-7-7.pdf already broken down into
[2025-01-24T22:33:38.019+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-8-8.pdf already broken down into
[2025-01-24T22:33:38.019+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-9-9.pdf already broken down into
[2025-01-24T22:33:38.020+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-10-10.pdf already broken down into
[2025-01-24T22:33:38.020+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-11-11.pdf already broken down into
[2025-01-24T22:33:38.020+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-12-12.pdf already broken down into
[2025-01-24T22:33:38.021+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-13-13.pdf already broken down into
[2025-01-24T22:33:38.021+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-14-14.pdf already broken down into
[2025-01-24T22:33:38.022+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-15-15.pdf already broken down into
[2025-01-24T22:33:38.022+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-16-16.pdf already broken down into
[2025-01-24T22:33:38.022+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-17-17.pdf already broken down into
[2025-01-24T22:33:38.023+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-18-18.pdf already broken down into
[2025-01-24T22:33:38.023+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-19-19.pdf already broken down into
[2025-01-24T22:33:38.023+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-20-20.pdf already broken down into
[2025-01-24T22:33:38.024+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-21-21.pdf already broken down into
[2025-01-24T22:33:38.024+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-22-22.pdf already broken down into
[2025-01-24T22:33:38.024+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-23-23.pdf already broken down into
[2025-01-24T22:33:38.025+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-24-24.pdf already broken down into
[2025-01-24T22:33:38.025+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-25-25.pdf already broken down into
[2025-01-24T22:33:38.025+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-26-26.pdf already broken down into
[2025-01-24T22:33:38.026+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-27-27.pdf already broken down into
[2025-01-24T22:33:38.026+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-28-28.pdf already broken down into
[2025-01-24T22:33:38.026+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-29-29.pdf already broken down into
[2025-01-24T22:33:38.027+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-30-30.pdf already broken down into
[2025-01-24T22:33:38.027+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-31-31.pdf already broken down into
[2025-01-24T22:33:38.027+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-32-32.pdf already broken down into
[2025-01-24T22:33:38.028+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-33-33.pdf already broken down into
[2025-01-24T22:33:38.028+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-34-34.pdf already broken down into
[2025-01-24T22:33:38.028+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-35-35.pdf already broken down into
[2025-01-24T22:33:38.029+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-36-36.pdf already broken down into
[2025-01-24T22:33:38.029+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-37-37.pdf already broken down into
[2025-01-24T22:33:38.029+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-38-38.pdf already broken down into
[2025-01-24T22:33:38.030+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-39-39.pdf already broken down into
[2025-01-24T22:33:38.030+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-40-40.pdf already broken down into
[2025-01-24T22:33:38.031+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-41-41.pdf already broken down into
[2025-01-24T22:33:38.031+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-42-42.pdf already broken down into
[2025-01-24T22:33:38.031+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-43-43.pdf already broken down into
[2025-01-24T22:33:38.032+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-44-44.pdf already broken down into
[2025-01-24T22:33:38.032+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-45-45.pdf already broken down into
[2025-01-24T22:33:38.032+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-46-46.pdf already broken down into
[2025-01-24T22:33:38.033+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-47-47.pdf already broken down into
[2025-01-24T22:33:38.033+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-48-48.pdf already broken down into
[2025-01-24T22:33:38.033+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-49-49.pdf already broken down into
[2025-01-24T22:33:38.034+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-50-50.pdf already broken down into
[2025-01-24T22:33:38.034+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-51-51.pdf already broken down into
[2025-01-24T22:33:38.034+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-52-52.pdf already broken down into
[2025-01-24T22:33:38.035+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-53-53.pdf already broken down into
[2025-01-24T22:33:38.035+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-54-54.pdf already broken down into
[2025-01-24T22:33:38.035+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-55-55.pdf already broken down into
[2025-01-24T22:33:38.036+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-56-56.pdf already broken down into
[2025-01-24T22:33:38.036+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-57-57.pdf already broken down into
[2025-01-24T22:33:38.037+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-58-58.pdf already broken down into
[2025-01-24T22:33:38.037+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-59-59.pdf already broken down into
[2025-01-24T22:33:38.037+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-60-60.pdf already broken down into
[2025-01-24T22:33:38.037+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-61-61.pdf already broken down into
[2025-01-24T22:33:38.038+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-62-62.pdf already broken down into
[2025-01-24T22:33:38.038+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-63-63.pdf already broken down into
[2025-01-24T22:33:38.038+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-64-64.pdf already broken down into
[2025-01-24T22:33:38.039+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-65-65.pdf already broken down into
[2025-01-24T22:33:38.039+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-66-66.pdf already broken down into
[2025-01-24T22:33:38.039+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-67-67.pdf already broken down into
[2025-01-24T22:33:38.040+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-68-68.pdf already broken down into
[2025-01-24T22:33:38.040+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-69-69.pdf already broken down into
[2025-01-24T22:33:38.040+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-70-70.pdf already broken down into
[2025-01-24T22:33:38.041+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-18_7156-page-71-71.pdf already broken down into
[2025-01-24T22:33:38.041+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-19_7157.pdf into multiple PDF single pages
[2025-01-24T22:33:38.151+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-0-0.pdf already broken down into
[2025-01-24T22:33:38.151+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-1-1.pdf already broken down into
[2025-01-24T22:33:38.152+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-2-2.pdf already broken down into
[2025-01-24T22:33:38.152+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-3-3.pdf already broken down into
[2025-01-24T22:33:38.153+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-4-4.pdf already broken down into
[2025-01-24T22:33:38.154+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-5-5.pdf already broken down into
[2025-01-24T22:33:38.155+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-6-6.pdf already broken down into
[2025-01-24T22:33:38.156+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-7-7.pdf already broken down into
[2025-01-24T22:33:38.156+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-8-8.pdf already broken down into
[2025-01-24T22:33:38.157+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-9-9.pdf already broken down into
[2025-01-24T22:33:38.158+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-10-10.pdf already broken down into
[2025-01-24T22:33:38.158+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-11-11.pdf already broken down into
[2025-01-24T22:33:38.159+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-12-12.pdf already broken down into
[2025-01-24T22:33:38.159+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-13-13.pdf already broken down into
[2025-01-24T22:33:38.160+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-14-14.pdf already broken down into
[2025-01-24T22:33:38.160+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-15-15.pdf already broken down into
[2025-01-24T22:33:38.161+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-16-16.pdf already broken down into
[2025-01-24T22:33:38.162+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-17-17.pdf already broken down into
[2025-01-24T22:33:38.162+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-18-18.pdf already broken down into
[2025-01-24T22:33:38.162+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-19-19.pdf already broken down into
[2025-01-24T22:33:38.163+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-20-20.pdf already broken down into
[2025-01-24T22:33:38.163+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-21-21.pdf already broken down into
[2025-01-24T22:33:38.164+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-22-22.pdf already broken down into
[2025-01-24T22:33:38.164+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-23-23.pdf already broken down into
[2025-01-24T22:33:38.164+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-24-24.pdf already broken down into
[2025-01-24T22:33:38.165+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-25-25.pdf already broken down into
[2025-01-24T22:33:38.165+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-26-26.pdf already broken down into
[2025-01-24T22:33:38.165+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-27-27.pdf already broken down into
[2025-01-24T22:33:38.166+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-28-28.pdf already broken down into
[2025-01-24T22:33:38.166+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-29-29.pdf already broken down into
[2025-01-24T22:33:38.166+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-30-30.pdf already broken down into
[2025-01-24T22:33:38.167+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-31-31.pdf already broken down into
[2025-01-24T22:33:38.167+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-32-32.pdf already broken down into
[2025-01-24T22:33:38.167+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-33-33.pdf already broken down into
[2025-01-24T22:33:38.168+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-19_7157-page-34-34.pdf already broken down into
